Modulo,Tipo,Nome API,Tipo Ritorno,Parametri,Descrizione e Dettagli
AutoLoot,Metodo,ChangeList,Void,listName: Nome di una lista esistente.,Cambia la lista attiva dell'AutoLoot.
AutoLoot,Metodo,GetList,List[AutoLoot.AutoLootItem],"lootListName, wantMinusOnes",Restituisce una lista di oggetti associati a una specifica lista di AutoLoot.
AutoLoot,Metodo,GetLootBag,UInt32,N/A,Ottiene il seriale del contenitore di destinazione corrente.
AutoLoot,Metodo,ResetIgnore,Void,N/A,Resetta la lista degli oggetti ignorati dall'agente.
AutoLoot,Metodo,RunOnce,Void,"lootListName, millisec [Int32], filter [Items.Filter]",Avvia l'AutoLoot con parametri personalizzati e filtro ricerca.2
AutoLoot,Metodo,SetNoOpenCorpse,Boolean,noOpen: Attiva/disattiva la funzione.,Evita l'apertura grafica del cadavere. Il cambiamento è temporaneo.
AutoLoot,Metodo,Start,Void,N/A,Avvia l'agente sulla lista attualmente attiva.
AutoLoot,Metodo,Status,Boolean,N/A,Verifica lo stato (True se in esecuzione).
AutoLoot,Metodo,Stop,Void,N/A,Ferma l'agente.
AutoLoot.AutoLootItem,Proprietà,Color,Int32,N/A,Colore dell'oggetto target.
AutoLoot.AutoLootItem,Proprietà,Graphics,Int32,N/A,ID grafico dell'oggetto da recuperare.
AutoLoot.AutoLootItem,Proprietà,List,String,N/A,Nome della lista di appartenenza.
AutoLoot.AutoLootItem,Proprietà,LootBagOverride,Int32,N/A,Contenitore di destinazione specifico per l'oggetto.
AutoLoot.AutoLootItem,Proprietà,Name,String,N/A,Nome identificativo dell'oggetto.
AutoLoot.AutoLootItem,Proprietà,Properties,List[Property],N/A,Lista delle proprietà analizzate.
AutoLoot.AutoLootItem,Proprietà,Selected,Boolean,N/A,Stato di selezione corrente.
BandageHeal,Metodo,Start,Void,N/A,Avvia l'agente di cura con bende.
BandageHeal,Metodo,Status,Boolean,N/A,Verifica se l'agente è attivo.
BandageHeal,Metodo,Stop,Void,N/A,Ferma l'agente di cura.
BuyAgent,Metodo,ChangeList,Void,listName: Nome della lista.,Cambia la lista attiva di acquisto.2
BuyAgent,Metodo,Disable,Void,N/A,Disabilita l'agente di acquisto.
BuyAgent,Metodo,Enable,Void,N/A,Abilita l'agente di acquisto sulla lista corrente.
BuyAgent,Metodo,Status,Boolean,N/A,Verifica lo stato operativo dell'agente.
DPSMeter,Metodo,GetDamage,Int32,serial [Int32]: Seriale del Mobile.,Ottiene il totale del danno inflitto a un Mobile specifico.2
DPSMeter,Metodo,Pause,Void,N/A,Sospende la registrazione dei dati di danno.
DPSMeter,Metodo,Start,Void,N/A,Avvia il motore di calcolo DPS.
DPSMeter,Metodo,Status,Boolean,N/A,Verifica lo stato del modulo DPS.
DPSMeter,Metodo,Stop,Void,N/A,Ferma la misurazione.
